"campaign_id","publish_date","type","audience","theme","anchor_proof","partner","primary_channel","secondary_channels","audience_cta","partner_ask","primary_kpi","owner","status"
"MKT-2026-10-AWS-MARKET","2026-10-20","anchor","enterprise buyers and cloud builders","Enterprise procurement in front of agent-native pay-per-call usage","https://three.ws/aws","AWS","AWS Marketplace launch","AWS Builder Center|LinkedIn|X|three.ws news","Open the listing or request a demo","Review the launch assets and repost the live announcement","listing visits agreements and AWS amplification","Owner","awaiting_listing"
"MKT-2026-10-THREE-DEPLOY","2026-10-23","utility","agent developers and holders","What $THREE does this week: holder deployment benefits","https://three.ws/deploy","$THREE","X","Telegram community|GitHub Discussions|three.ws news","Price a deploy from a real wallet","None","deploy quotes and completed deployments","Growth","planned"
"MKT-2026-10-ELEVEN-BODY","2026-10-27","anchor","voice AI builders","A voice agent becomes a speaking expressive 3D body","https://three.ws/voice","ElevenLabs","X","LinkedIn|Telegram community|three.ws news","Create a voice-enabled agent and share the clip","Startup Grant review and Demo Day consideration","voice setup completions and partner response","Owner","awaiting_eligibility"
"MKT-2026-10-THREE-WORLD","2026-10-30","utility","community and holders","What $THREE does this week: live world access and purchases","https://three.ws/play","$THREE","X","Telegram community|three.ws news","Enter the world and join the scheduled community session","None","world entrants and event registrations","Growth","planned"
"MKT-2026-11-HF-LOOP","2026-11-03","anchor","ML and open-source developers","An agent inspects and corrects its own 3D output","https://huggingface.co/three-ws","Hugging Face","Hugging Face Community","X|GitHub Discussions|three.ws news","Open the Space and reproduce one correction loop","Community feature or Space GPU grant review","Space sessions article reads and partner response","Growth+Engineering","draft_ready"
"MKT-2026-11-THREE-X402","2026-11-06","utility","agent and API builders","What $THREE does this week: pay for agent tools over x402","https://three.ws/x402","$THREE","X","Telegram community|GitHub Discussions|three.ws news","Call one compatible paid endpoint","None","THREE-denominated challenges and settlements","Growth","planned"
"MKT-2026-11-GCP-AGENT","2026-11-10","anchor","enterprise agent builders","A production A2A agent with a browser-native 3D interface","https://three.ws/.well-known/agent-card.json","Google Cloud","Google Cloud Marketplace or agent finder","LinkedIn|X|three.ws news","Inspect the Agent Card and run the live agent","AI Agents validation and finder placement","agent calls listing visits and placement","Owner","awaiting_enrollment"
"MKT-2026-11-THREE-RECEIPTS","2026-11-13","utility","community and technical evaluators","What $THREE does this week: public utility receipts","https://three.ws/three-token","$THREE","X","Telegram community|three.ws news","Verify a live public metric or receipt","None","stats endpoint reads and linked utility actions","Growth","planned"
"MKT-2026-11-QUICKNODE","2026-11-17","anchor","Solana developers","How the production RPC path fails over without losing the user","https://three.ws/docs/solana","QuickNode","QuickNode community or blog","X|GitHub Discussions|three.ws news","Read the field note and test the open implementation","Founder spotlight or co-authored technical post","doc reads repo visits and partner placement","Owner","awaiting_outreach"
"MKT-2026-11-THREE-CREATOR","2026-11-20","utility","3D creators and community","What $THREE does this week: creator earnings and royalties","https://three.ws/marketplace","$THREE","X","Telegram community|three.ws news","Publish one reusable 3D asset or skill","None","new creator listings and paid reuse","Growth","planned"
"MKT-2026-11-IBM-WORLD-2","2026-11-24","anchor","enterprise AI builders and community","An agent buys a tool and returns with a verifiable result","https://three.ws/play","IBM","IBM Community event","X|LinkedIn|Telegram community|three.ws news","Attend and inspect the live transaction flow","IBM event amplification and partner-authored recap","registrations attendance and recap placement","Owner","awaiting_first_event"
"MKT-2026-11-THREE-BUILD","2026-11-27","utility","community and open-source builders","What $THREE does this week: utility built in public","https://github.com/nirholas/three.ws","$THREE","GitHub Discussions","X|Telegram community|three.ws news","Audit the implementation or open an issue","None","repo visits discussions and issues","Growth","planned"
"MKT-2026-12-OPEN-SOURCE","2026-12-01","anchor","open-source builders and partner teams","The quarter's community contributions and partner-owned proof","https://github.com/nirholas/three.ws","GitHub","GitHub Discussions","X|LinkedIn|Telegram community|partner communities|three.ws news","Choose the next contribution or event","Include the best community artifact in a GitHub roundup","contributors PRs and partner amplification","Growth","planned"
"MKT-2026-12-THREE-QUARTER","2026-12-04","utility","community and holders","What $THREE did this quarter: verified utility outcomes","https://three.ws/three-token","$THREE","X","Telegram community|three.ws news","Use the most relevant live utility and vote on the next walkthrough","None","utility actions across the series","Growth","planned"
